city_state,1,2,3,4,5,6,7,8,9,10,11,12
Atlanta (GA),83.17746959564587,84.10362912141534,72.5520903934829,66.90153869138987,68.62624763927386,65.66004590813942,65.06317756420792,64.34216670483343,62.66868837522411,82.21061429315901,82.86894152294293,83.00212284882183
Austin (TX),83.11107317194886,82.8486598603314,71.29712113239896,65.64656943030593,69.48589401986825,64.4050766470555,63.80820830312398,63.08719744374947,61.41371911414017,80.95564503207507,81.613972261859,81.74715358773787
Boston (MA),82.3626372263102,83.02876633659403,70.41344512282873,69.26649993129988,66.48760236861969,63.076288007053456,62.99111108144806,62.20352143417922,60.53004310456993,80.20720908643641,80.86553631622034,80.99871764209921
Dallas (TX),83.25702352758437,82.9946102159669,71.29712113239896,65.64656943030593,69.48589401986825,64.4050766470555,63.80820830312398,63.08719744374947,61.41371911414017,81.10159538771057,81.75992261749451,81.89310394337338
Los Angeles (CA),82.44384273787465,83.37000226364412,72.17285842716609,66.52230672507307,68.24701567295705,65.28081394182264,64.68394559789117,63.96293473851662,62.28945640890731,81.4769874353878,82.13531466517173,82.26849599105057
New York City (NY),74.72012752143519,74.05429962866842,64.33559545891427,66.78780681842443,64.90073845768764,60.0312045293867,59.43433618545522,57.32668326496941,55.881870193103566,70.57654594179164,72.809378408257,73.68486085858788
Portland (ME),83.11107317194886,82.8486598603314,71.29712113239896,65.64656943030593,69.48589401986825,64.4050766470555,63.80820830312398,63.08719744374947,61.41371911414017,80.95564503207507,81.613972261859,81.74715358773787
Portland (OR),83.11107317194886,82.8486598603314,71.29712113239896,65.64656943030593,69.48589401986825,64.4050766470555,63.80820830312398,62.817475100418505,61.14399677080921,80.6859226887441,81.613972261859,81.74715358773787
San Francisco (CA),89.40353624223062,89.76339717409604,79.81108921539435,78.98449183664825,75.38835028713078,70.61595407894723,68.74405328519146,76.85334823811142,70.12594267565702,95.33207433327277,91.8502852425524,92.99857121728228
Seattle (WA),83.11107317194886,82.8486598603314,71.29712113239896,65.64656943030593,69.48589401986825,64.4050766470555,63.80820830312398,63.08719744374947,61.41371911414017,80.95564503207507,81.613972261859,81.74715358773787
